buffer_name,feature_prefix,sample_name,replicate_id,group_type,tc_conc_uM,otc_conc_uM,ctc_conc_uM,roi_mean_r,roi_mean_g,roi_mean_b,roi_std_r,roi_std_g,roi_std_b,pixel_count,kept_pixel_count,status,warning,source_csv,source_image_path,source_crop_path
water,water,binary_TC0_OTC6_CTC54,R1,binary,0,6,54,185.996048,181.0609589,180.4993744,14.53690624,14.0577364,13.93563747,18354,16731,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,6,54.jpg","cropped_cuvettes/water/binary/water_binary_0,6,54.png"
T=8,tris8,binary_TC0_OTC6_CTC54,R2,binary,0,6,54,171.9192352294922,226.99424743652344,228.14031982421875,15.41367244720459,17.566936492919922,16.593847274780273,18216,16505,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,6,54_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,6,54_1.png"
water,water,binary_TC0_OTC6_CTC54,R2,binary,0,6,54,189.4412842,185.1398468,183.9463654,14.31836414,13.92992878,13.23324013,17802,16146,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,6,54_1.jpg","cropped_cuvettes/water/binary/water_binary_0,6,54_1.png"
T=8,tris8,binary_TC0_OTC6_CTC54,R3,binary,0,6,54,171.66546630859375,225.4637756347656,226.9391021728516,15.504711151123049,17.610557556152344,16.75748634338379,17947,16288,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,6,54_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,6,54_2.png"
water,water,binary_TC0_OTC6_CTC54,R3,binary,0,6,54,185.4610748,180.7825623,179.7507782,13.98613453,13.40385628,13.1602602,17673,15926,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,6,54_2.jpg","cropped_cuvettes/water/binary/water_binary_0,6,54_2.png"
T=8,tris8,binary_TC12_OTC0_CTC48,R1,binary,12,0,48,160.68789672851562,209.6493377685547,199.83917236328125,16.799510955810547,19.01676368713379,17.866506576538086,18084,16440,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_12,0,48.jpg","cropped_cuvettes/T=8/binary/T=8_binary_12,0,48.png"
water,water,binary_TC12_OTC0_CTC48,R1,binary,12,0,48,142.7729187,137.6326141,139.562027,12.3122263,11.58315277,11.94442272,16641,15131,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_12,0,48.jpg","cropped_cuvettes/water/binary/water_binary_12,0,48.png"
T=8,tris8,binary_TC12_OTC0_CTC48,R2,binary,12,0,48,160.233154296875,209.6627960205078,199.9897003173828,15.52737808227539,17.589683532714844,16.709918975830078,17816,16127,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_12,0,48_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_12,0,48_1.png"
water,water,binary_TC12_OTC0_CTC48,R2,binary,12,0,48,141.7572174,137.0613861,139.375412,12.4617424,11.62517548,12.33518505,17290,15607,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_12,0,48_1.jpg","cropped_cuvettes/water/binary/water_binary_12,0,48_1.png"
T=8,tris8,binary_TC12_OTC0_CTC48,R3,binary,12,0,48,163.28428649902344,213.7675628662109,204.63262939453125,16.368471145629883,18.894275665283203,17.996196746826172,18084,16490,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_12,0,48_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_12,0,48_2.png"
water,water,binary_TC12_OTC0_CTC48,R3,binary,12,0,48,144.2829742,139.1575317,141.4201202,11.54736042,11.12609577,11.53025723,16758,15203,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_12,0,48_2.jpg","cropped_cuvettes/water/binary/water_binary_12,0,48_2.png"
T=8,tris8,binary_TC12_OTC48_CTC0,R1,binary,12,48,0,157.16702270507812,234.3336181640625,224.6428375244141,13.099408149719238,14.314043045043944,14.872275352478027,17947,16399,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_12,48,0.jpg","cropped_cuvettes/T=8/binary/T=8_binary_12,48,0.png"
water,water,binary_TC12_OTC48_CTC0,R1,binary,12,48,0,141.7460022,175.6237183,197.9426117,9.52604866,10.35125828,11.48522186,16864,15579,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_12,48,0.jpg","cropped_cuvettes/water/binary/water_binary_12,48,0.png"
T=8,tris8,binary_TC12_OTC48_CTC0,R2,binary,12,48,0,135.7729034423828,208.54885864257807,199.2447204589844,9.275668144226074,11.587053298950195,11.261069297790527,17947,16341,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_12,48,0_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_12,48,0_1.png"
water,water,binary_TC12_OTC48_CTC0,R2,binary,12,48,0,141.046875,174.8546753,197.3544464,9.442193985,10.23668385,11.24518299,16750,15145,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_12,48,0_1.jpg","cropped_cuvettes/water/binary/water_binary_12,48,0_1.png"
T=8,tris8,binary_TC12_OTC48_CTC0,R3,binary,12,48,0,135.7729034423828,208.54885864257807,199.2447204589844,9.275668144226074,11.587053298950195,11.261069297790527,17947,16341,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_12,48,0_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_12,48,0_2.png"
water,water,binary_TC12_OTC48_CTC0,R3,binary,12,48,0,143.4261627,177.6320648,199.868103,9.408866882,10.39203548,11.29994297,16616,15201,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_12,48,0_2.jpg","cropped_cuvettes/water/binary/water_binary_12,48,0_2.png"
T=8,tris8,binary_TC18_OTC0_CTC42,R1,binary,18,0,42,161.77896118164062,212.48963928222656,200.0072326660156,16.7829532623291,19.39447021484375,18.420398712158203,18084,16594,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_18,0,42.jpg","cropped_cuvettes/T=8/binary/T=8_binary_18,0,42.png"
water,water,binary_TC18_OTC0_CTC42,R1,binary,18,0,42,150.4324646,145.0490875,148.3742523,11.62042713,11.22081947,11.55894089,17408,15770,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_18,0,42.jpg","cropped_cuvettes/water/binary/water_binary_18,0,42.png"
T=8,tris8,binary_TC18_OTC0_CTC42,R2,binary,18,0,42,161.5911102294922,211.2397918701172,199.0548095703125,16.65056800842285,19.12217712402344,18.2135009765625,18078,16327,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_18,0,42_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_18,0,42_1.png"
water,water,binary_TC18_OTC0_CTC42,R2,binary,18,0,42,153.280777,147.9838715,151.7963867,11.48781872,11.07638264,11.12997627,16875,15382,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_18,0,42_1.jpg","cropped_cuvettes/water/binary/water_binary_18,0,42_1.png"
T=8,tris8,binary_TC18_OTC0_CTC42,R3,binary,18,0,42,144.4037628173828,190.1158142089844,178.7753448486328,12.90937614440918,14.470492362976074,13.98347282409668,17947,16225,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_18,0,42_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_18,0,42_2.png"
water,water,binary_TC18_OTC0_CTC42,R3,binary,18,0,42,152.1667633,146.8138428,150.240509,11.18231869,11.08414459,11.27625847,17145,15471,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_18,0,42_2.jpg","cropped_cuvettes/water/binary/water_binary_18,0,42_2.png"
T=8,tris8,binary_TC18_OTC42_CTC0,R1,binary,18,42,0,157.9293212890625,231.90554809570312,217.6993408203125,13.818731307983398,15.357303619384766,15.424074172973633,18221,16527,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_18,42,0.jpg","cropped_cuvettes/T=8/binary/T=8_binary_18,42,0.png"
water,water,binary_TC18_OTC42_CTC0,R1,binary,18,42,0,138.0467529,164.2004852,184.41745,9.510298729,10.47794819,10.80222702,17673,16086,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_18,42,0.jpg","cropped_cuvettes/water/binary/water_binary_18,42,0.png"
T=8,tris8,binary_TC18_OTC42_CTC0,R2,binary,18,42,0,156.2781524658203,229.0303192138672,214.32049560546875,13.510968208312988,15.70000457763672,15.073424339294434,17550,15966,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_18,42,0_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_18,42,0_1.png"
water,water,binary_TC18_OTC42_CTC0,R2,binary,18,42,0,138.5726776,164.2169647,184.3421021,9.532466888,10.43306065,10.74761677,17280,15726,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_18,42,0_1.jpg","cropped_cuvettes/water/binary/water_binary_18,42,0_1.png"
T=8,tris8,binary_TC18_OTC42_CTC0,R3,binary,18,42,0,151.27603149414062,225.12290954589844,210.3945159912109,13.453380584716797,16.15721893310547,15.317606925964355,17820,16281,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_18,42,0_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_18,42,0_2.png"
water,water,binary_TC18_OTC42_CTC0,R3,binary,18,42,0,138.7544403,164.4593048,184.2498474,9.568173409,10.25800514,10.63827515,17280,15630,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_18,42,0_2.jpg","cropped_cuvettes/water/binary/water_binary_18,42,0_2.png"
T=8,tris8,binary_TC30_OTC0_CTC30,R1,binary,30,0,30,162.1221923828125,214.09461975097656,194.30398559570312,17.41360092163086,19.794084548950195,18.438495635986328,17810,16106,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_30,0,30.jpg","cropped_cuvettes/T=8/binary/T=8_binary_30,0,30.png"
water,water,binary_TC30_OTC0_CTC30,R1,binary,30,0,30,147.9385986,141.8505096,145.6555023,12.48213387,12.10062599,12.22802162,16758,15292,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_30,0,30.jpg","cropped_cuvettes/water/binary/water_binary_30,0,30.png"
T=8,tris8,binary_TC30_OTC0_CTC30,R2,binary,30,0,30,163.50294494628906,215.03790283203125,195.1396026611328,17.112844467163086,19.80742454528809,18.017135620117188,17673,16095,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_30,0,30_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_30,0,30_1.png"
water,water,binary_TC30_OTC0_CTC30,R2,binary,30,0,30,149.074646,142.5433502,146.1731415,12.4845562,11.6866703,12.07391071,16256,14670,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_30,0,30_1.jpg","cropped_cuvettes/water/binary/water_binary_30,0,30_1.png"
T=8,tris8,binary_TC30_OTC0_CTC30,R3,binary,30,0,30,165.8338165283203,217.4615020751953,198.19775390625,17.601219177246094,19.78425025939941,18.422855377197266,17680,16000,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_30,0,30_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_30,0,30_2.png"
water,water,binary_TC30_OTC0_CTC30,R3,binary,30,0,30,148.9494324,143.0792999,145.9373474,12.67445946,11.9777317,12.21100903,16896,15308,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_30,0,30_2.jpg","cropped_cuvettes/water/binary/water_binary_30,0,30_2.png"
T=8,tris8,binary_TC30_OTC30_CTC0,R1,binary,30,30,0,165.16796875,230.14768981933597,209.4673614501953,15.684684753417969,16.860586166381836,16.765785217285156,17673,15979,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_30,30,0.jpg","cropped_cuvettes/T=8/binary/T=8_binary_30,30,0.png"
